Sim,Covs,T Setting,T Drop Setting,Binary Dose,DGP,Observed,Our Method,Expert,Linear Q-learning (R),DTree Q-learning (R),Linear Q-learning (Python),RF Q-learning (Python),SV Q-learning (Python),Linear Q-learning Multi,RF Q-learning Multi,SV Q-learning Multi,Linear OptClass,DTree OptClass,Linear BOWL R1,Linear BOWL R2,Linear BOWL R3,Poly BOWL R1,Poly BOWL R2,Poly BOWL R3,Linear Inf R1,Linear Inf R2,Linear Inf R3,RF Inf R1,RF Inf R2,RF Inf R3,SV Inf R1,SV Inf R2,SV Inf R3,Linear Inf Multi R1,Linear Inf Multi R2,Linear Inf Multi R3,RF Inf Multi R1,RF Inf Multi R2,RF Inf Multi R3,SV Inf Multi R1,SV Inf Multi R2,SV Inf Multi R3,BCQ R1,BCQ R2,BCQ R3,CQL R1,CQL R2,CQL R3,CRR R1,CRR R2,CRR R3,DDPG R1,DDPG R2,DDPG R3,SAC R1,SAC R2,SAC R3,TD3 R1,TD3 R2,TD3 R3,Random,Inaction,Full Dosing
10,100,b,a,False,informed,2.518525314203619,2.2317486200712993,2.3587387484697326,,,4.892040747676171,4.482785405742102,6.288510557391133,4.011237093065036,3.99490563042504,6.749428047873802,,,3.847874749843282,,,,,,3.1271000914306617,5.029949768806443,7.877527006639144,5.1034929677625795,9.297101515302636,9.34791633521667,5.2156894506777425,9.435899912776863,9.240123988399947,26.882978155140442,4.137398801272978,3.546455846863555,26.825876766056894,7.732256242303407,7.4217949176228215,27.256911618223445,9.42303761851853,7.18915140812298,2.4890350560927215,2.4963058559228375,2.459666773375063,2.3191655769725132,2.3095597603034896,2.285313980883952,2.453312559007198,2.4756317400161403,2.4226407758727353,9.423550205810496,10.30398142909715,8.2432520666946,2.8076414206826574,6.58794300667482,3.4520006886600214,9.423347519701018,9.261720085773678,3.7388648610694672,6.5470965236709,9.423550217792304,27.009505804825107
11,100,b,b,False,informed,2.519007719781946,2.231277723611864,2.359817235032605,,,5.871208456708267,5.546268154312074,5.603817717358607,5.222638035996142,4.694621607711992,5.768584602993343,,,4.350081076397553,,,4.443017011629107,,,3.1160950709113386,5.358804065693752,8.033652251652494,5.212569361535126,9.2613645008967,9.398109950039531,5.212565715562468,9.433697192989593,9.403627715712949,26.843339886845893,3.799884500798327,3.404679495499569,26.88853874234969,7.6023816473981185,6.471650968761942,27.239389280820898,9.433697192989593,6.633240724031118,2.492429761053099,2.495492150968378,2.463906136472011,2.3253772058889703,2.313815117640341,2.2927951150427743,2.454257365319539,2.4726388098541703,2.4302871773566608,9.396465890518181,9.490171105964103,8.505644242595132,2.438934256858512,5.879657064818468,3.069201145925994,8.492170459595553,9.476070088081238,4.459359301078758,6.5470965236709,9.423550217792304,27.009505804825107
12,100,a,a,True,informed,2.9064815617462716,2.9252602124277973,2.7283690074286118,,,4.938959652222438,4.897938851540129,5.400785536552851,,,,,,3.6621016860540223,6.774476999590825,6.715155753488989,3.6725642244684416,3.727309624146186,3.7274397657367286,7.631200760462663,4.009900886691662,2.9971254750483167,3.7200938507792474,8.86497960610645,9.267059339162307,3.6991594121956313,9.431917772167369,9.431917772167369,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.556429344261201,9.423550217792304,3.6725642244684416
13,100,a,b,True,informed,2.910314700807116,3.607214507010211,2.7301033656411917,,,5.545631693281463,4.167761687554204,7.077647689778895,,,,,,3.4352356349200672,7.294507947026356,7.184445589397974,3.6797213147731633,3.6919300761072513,3.6919300761072513,7.202324659320252,4.641104458464771,3.567805131031735,3.7011842780285553,9.076036604549884,8.994419501478323,3.701540172990574,9.42089614726597,9.42089614726597,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.556429344261201,9.423550217792304,3.6725642244684416
14,100,b,a,True,informed,3.0040838017831364,2.8037682440335026,2.820432572499999,,,5.282674702551959,5.0765158935446895,6.55743737464564,,,,,,3.462007254123632,,,5.192299074083854,,,2.8458386197572,3.726706873218819,2.7041593597192075,5.2156894506777425,8.418677351332036,9.171169710113917,5.2156894506777425,9.435899912776863,8.781744269139043,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.308628943520995,9.423550217792304,5.172398281390762
15,100,b,b,True,informed,2.9984862218450203,2.8012454661007262,2.820473320578396,,,4.887240306083916,5.662214228957646,4.960715047696345,,,,,,4.5672652260392645,,,5.185452200827579,5.48161963345219,5.48161963345219,2.8571157810991545,3.757048731570708,2.703732509383929,5.212565715562468,8.348012719871502,9.166895110455572,5.212565715562468,9.433697192989593,9.03556248793854,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.308628943520995,9.423550217792304,5.172398281390762
16,10,a,a,False,random,4.896218570695752,2.2532526368598154,2.8139689546466506,7.376275108232302,7.376275108232302,8.618304881778313,5.881080976556449,5.65163269945207,3.150812651636116,3.1781955276305394,3.5726189669824726,4.918905750485696,4.918905750485696,5.401627777911487,4.567534805122685,4.981822826110151,3.6753870598469787,3.6753870598469787,3.6753870598469787,2.8177742626393756,4.210811318834745,3.1943464926274396,2.8877620870214247,8.619939733915414,9.292141044775793,3.699261250461619,9.039072236883081,7.351723138688319,4.11310687104396,4.075703128969661,2.388268942390138,5.296059391416666,4.881713032494767,3.348133514808518,9.075379965040401,8.546200905445072,5.41313357238019,5.085899506254011,5.0960872264997725,5.054459055974005,4.547112199895426,4.541896251241626,4.51206747310548,4.37340835122407,4.244983462735643,3.891683467589426,3.366821242599695,8.299987568031689,7.429520603533935,3.3523800795198113,3.4819095957290367,2.816062418943699,3.315272357973498,5.8920356211265394,4.459157244721796,4.898815757368227,9.466237249413016,13.684248568594636
17,10,a,b,False,random,4.909204898427506,2.2238759436776023,2.8115151413642323,4.218315129208604,4.218315129208604,5.9309832258584985,6.144728679995249,5.964562906618106,3.1410821621600538,3.371014263483326,3.7369287065125896,4.821825017335058,4.821825017335058,3.6753870598469787,4.297937487169699,3.9538329151448495,3.6753870598469787,3.6753870598469787,3.6753870598469787,2.915704582947493,4.26132934321162,3.2948844263417363,2.874901975621473,8.685695241793875,8.99368168088002,3.701387775652928,8.91473462385467,7.328876768928341,4.149652029984412,4.042059740521124,2.385262757860542,5.8564430119121385,4.905137240718216,3.2261230237996115,9.222848665199813,8.161452702428459,5.506224058301406,5.129583547380222,5.0053212773448985,4.963457951887097,4.5836015112434945,4.553738682218086,4.534488816048542,4.401318318567027,4.309216273113114,4.059023131439272,5.013812668992419,5.964278879453812,4.83679401427309,4.47542243993718,3.1672977157478637,2.3456488097745143,5.017684865370981,5.305416041897198,3.1827187938927306,4.898815757368227,9.466237249413016,13.684248568594636
18,10,b,a,False,random,6.5121063253387375,3.1069832994950244,2.3699514630915073,6.8241956882704375,6.8241956882704375,8.341653527993795,4.941273000607682,5.357654185160501,7.577187986914329,6.113759659967547,6.486372291415951,4.426263869531299,4.426263869531299,4.175096825809998,,,5.16555639738103,5.165657246955169,5.165657246955169,3.0266623815921445,4.248712845767298,3.105635123667629,3.027774573351871,9.080957852363737,9.116901641801226,3.6921137175328425,9.175655188926722,5.655495585010473,3.9516102024670707,4.710983270821364,2.5344319704271654,3.9177102467898046,5.267477725019588,5.224318758926198,3.9964796179637903,9.314147507762717,5.267377177668445,3.4038539809559154,4.570407534855844,3.9933438110395385,4.90487192249323,5.01192080922448,4.168740408476661,4.338100307848994,4.8678245290869215,3.482827314866577,9.429822822320745,5.976421406241857,5.323297868517965,4.551247917376869,4.134199295759211,2.7417159454539983,9.437799088819087,4.965251412499239,3.229909298907207,6.533568526899214,9.466237249413016,26.897843149248093
19,10,b,b,False,random,6.525519429028208,2.9773895738547838,2.3711880354210253,5.9405319572178295,5.9405319572178295,7.075299523666784,6.039545996692148,6.421716783384063,7.580927041471073,6.192604578797679,7.50774802789053,5.3532782204370495,5.3532782204370495,4.42333967455073,4.673188529161198,,5.16555639738103,5.16555639738103,5.16555639738103,2.9698769180510487,4.18493134960938,3.0905707918527816,2.980277858160197,9.120643391856303,9.153211487106892,3.6782102633695444,9.163260376631232,5.727022158604404,3.9766807804017517,4.634965378215878,2.504475210349953,4.089778565866354,4.8693821737497744,5.051056354522352,4.193597909355545,9.247841234320363,5.183119344474452,4.72647669045903,4.9243753258859275,4.483403786231488,5.391530721019086,5.2432499548630185,4.517221815041798,4.991395845361901,4.914312631376929,3.6213288423207373,9.424100314767799,6.202005817962596,6.171223078903739,4.1923913249522835,4.1961408170864445,2.8060543217125242,9.424090338054057,5.032378541811605,3.649498433529012,6.533568526899214,9.466237249413016,26.897843149248093
